[RUN #0 5 100]
-117 -852 790 -280 230
248 83 801 -266 -492
-563 662 -8 376 -22
321 -188 -108 475 28
-786 460 379 365 174
-344 249 875 -793 -833
395 878 886 -222 957
-639 -864 -304 -201 -993
127 73 -215 -351 -690
49 -616 650 -8 -57
369 584 47 87 -506
237 -58 -395 752 -873
-234 815 260 -194 973
-314 -701 536 -13 746
389 911 397 89 123
548 -286 872 -427 -341
187 -143 -388 891 -347
-837 862 -997 -127 -519
-924 218 -672 75 17
-379 993 -572 864 677
-661 984 -884 536 -343
-275 180 -629 419 -770
156 654 -573 783 753
282 -487 711 46 762
35 -437 219 29 776
-911 208 -933 531 -233
872 512 570 -918 -18
-740 -735 -160 -9 -5
308 -241 94 -772 -145
-63 398 253 -423 391
924 820 355 -532 -72
13 -445 -981 -212 69
666 -639 478 912 134
-175 -146 -822 283 468
-404 -234 88 -149 532
-383 -693 -425 970 540
479 621 -105 428 -407
177 -372 846 487 -900
-18 -309 -627 -794 -684
-295 310 81 -852 720
545 -402 -731 701 836
136 -11 841 314 72
-641 -153 -930 455 -389
-528 -483 -213 -482 -565
-892 873 -127 -849 -472
622 -341 -505 -867 384
219 -441 -784 -834 295
-585 666 582 -262 722
-251 219 -21 -718 -944
-33 -162 136 -779 -460
[RUN #2 5 100]
69 -928 -281 898 -722
143 -84 446 352 -613
-405 -54 625 -855 431
-619 413 201 105 -133
-985 849 549 -52 702
195 590 0 -854 125
382 -764 -769 445 -683
414 448 -260 293 -396
-188 282 310 421 732
528 -691 734 -305 -337
-738 523 62 177 -847
198 -172 433 -727 476
-663 -923 -893 261 837
-368 -94 384 285 -707
313 913 -839 -16 977
860 257 -106 345 -935
-554 -906 -951 -782 112
-944 -543 188 617 532
781 -139 -331 -981 113
25 961 235 -131 217
745 48 311 680 499
100 -321 162 538 82
-859 52 584 -467 488
291 126 -769 641 978
557 857 -297 -966 -719
-549 -819 734 -472 -254
987 993 321 942 432
-250 247 -777 -552 630
-125 862 -476 -329 -887
-571 494 95 -327 100
935 -641 -981 713 389
341 -947 -391 -780 799
-259 -548 -447 -865 872
959 -922 918 254 934
947 29 337 296 -352
-947 -569 248 933 581
-418 774 815 794 -787
333 944 633 750 -696
639 -210 -365 853 -399
-354 39 -745 393 330
-27 290 -534 -673 -767
-44 -116 -623 244 513
601 55 30 975 -335
273 645 -121 186 7
607 712 478 570 969
-349 226 -793 53 -749
-590 517 -200 -495 809
161 -4 812 -456 -397
-585 -167 -92 -111 -761
-507 585 644 -644 277
668 211 -886 -772 456
152 -701 -80 39 774
-545 -423 -353 -569 818
-884 -656 297 245 -753
928 995 517 894 -963
-495 -263 424 455 328
-922 940 188 651 -138
955 987 88 -498 694
685 658 239 527 565
875 173 584 509 -530
791 195 894 -850 598
906 690 340 635 -709
-407 704 -293 689 -25
-151 -365 368 53 923
-208 -882 606 395 133
319 760 -481 892 -181
674 -574 782 914 -164
31 -652 -241 -371 -904
546 -109 211 388 -992
-230 728 314 375 151
-267 -480 -718 879 -157
-387 244 607 -929 380
90 -567 -859 938 969
893 -171 953 -846 -447
317 422 -217 644 -412
-272 -587 482 -655 938
-801 -572 -453 -503 -593
-875 521 -939 -378 807
608 -479 -600 144 -8
354 -921 -276 -43 -575
120 25 -145 162 133
606 -307 915 852 266
987 -657 -172 234 -304
477 889 -266 586 206
183 -207 182 -287 -339
-651 -466 850 501 -942
607 -53 -962 -10 382
140 -904 -830 680 202
-283 441 930 3 -855
211 -48 -173 721 639
454 -549 -239 -862 743
301 345 -387 615 -539
-296 436 446 -802 -981
872 -101 -307 256 654
286 -131 -800 -95 -766
-267 156 799 -993 97
496 -959 500 -327 890
663 -132 730 -808 -284
-671 -612 -606 498 705
-14 221 -539 -268 -581
[RUN #3 5 300]
242 -984 -820 131 222
-145 401 550 226 -54
16 -245 -320 833 -408
64 -446 144 -744 -674
629 -766 -516 383 -329
466 616 -150 497 684
-267 -412 422 329 676
-558 95 -568 76 413
81 373 -20 635 357
-310 686 -294 -94 931
245 956 -905 -661 915
-631 386 -747 -787 543
342 -107 -730 -293 190
610 772 -58 -321 -639
888 -922 -376 -350 938
-41 497 170 757 104
748 435 -676 -392 446
718 -590 -82 -645 -398
-601 87 -484 511 881
669 665 499 689 -965
865 849 -610 204 -648
520 -7 -986 -72 -314
-873 -942 143 755 -34
552 -980 -710 869 -134
-278 -796 178 26 -555
-489 -798 657 796 926
-167 -743 44 63 808
-524 917 -534 893 -270
-880 290 -485 -781 -456
241 838 -46 250 -680
54 78 466 515 -352
727 99 319 659 -737
-240 810 -865 -588 62
650 108 -605 -635 307
759 -583 818 110 -49
728 -4 -501 77 -129
-639 459 402 68 -914
128 217 433 26 -200
-436 -286 -893 -100 -497
-534 795 945 -308 888
424 -707 -539 579 948
-606 -553 -195 -912 621
-261 -737 631 -813 241
-795 455 -381 977 -303
900 -83 -587 -591 -594
-47 -666 -548 -504 -726
851 -185 964 -368 862
-673 -779 -824 -405 -844
-533 -632 564 -76 467
-682 625 5 -710 949
-465 892 -718 -256 -19
-780 -677 -505 262 -541
321 -606 556 -825 -58
782 -317 42 -19 568
329 -956 -157 -191 272
-789 129 -963 -298 107
-514 375 524 543 333
699 770 -504 -111 271
-522 847 993 890 -899
17 -283 -868 633 655
-112 465 19 -103 -544
412 424 -799 -406 -942
-714 -191 -353 860 719
7 246 -112 10 -351
760 -727 -336 -661 -625
565 -563 954 -764 -553
941 354 -795 -503 -892
-766 660 -140 -519 -169
-636 -198 -81 467 -598
659 722 -314 -814 -694
108 -118 962 934 -797
-898 -298 277 -352 767
-153 -446 -162 -123 776
-155 -462 555 -576 -789
441 -438 -669 192 314
-801 -58 -974 925 -340
553 -689 889 -33 -923
920 -179 -554 -41 -37
434 -592 961 87 -746
-687 -934 -101 852 -57
-912 472 216 -349 -567
851 794 278 440 -492
316 653 71 -195 -805
471 -197 692 -177 -750
-327 -837 982 -351 -972
-573 88 991 -920 -2
-426 623 332 -959 -404
-812 -715 -669 317 923
669 -583 882 -528 -133
-179 -309 -510 -89 481
259 -223 -279 325 724
-143 -733 -348 -732 489
883 199 -735 -615 727
485 -784 -848 -58 -205
-280 -395 -348 396 -349
891 279 -500 -594 -994
-274 -477 -210 -120 193
-749 -267 683 526 234
153 628 -316 -73 514
163 408 864 -269 -139
-203 -30 651 -468 798
510 -27 312 -725 896
427 64 -706 -205 -135
181 -833 41 -648 -328
-458 -830 64 -51 -978
-584 78 -303 30 -219
319 -559 -531 -354 -980
65 27 -750 902 983
-589 795 189 501 759
514 -873 616 -186 -1
-845 513 -247 608 -389
-308 -123 531 207 -442
-876 -136 -679 -322 -527
724 663 -441 -77 903
-847 352 754 -11 532
-528 925 -14 -472 126
811 -921 417 241 453
139 328 -580 -903 -925
489 -802 -754 404 -165
537 315 801 226 103
-629 -998 -661 222 -362
49 884 760 877 -856
-284 492 521 840 442
-59 562 989 -810 -698
101 -603 -558 236 479
-35 -544 -689 98 322
107 -408 -486 -575 404
993 288 6 -5 -212
-831 413 -15 -603 363
-56 482 466 516 699
-179 -373 633 -279 -663
576 321 -559 689 -269
575 -33 642 484 -195
374 882 563 -641 184
220 -400 -211 360 -613
-827 777 -226 356 936
598 220 128 -390 -493
-582 -749 -202 -428 633
-632 -768 -843 183 422
406 840 -803 -520 -268
-437 548 -802 -784 284
-769 149 124 -438 -198
82 528 700 167 -569
596 802 -115 392 763
-70 -317 332 -412 122
-564 -800 152 -315 -669
907 -368 336 528 788
-958 583 544 986 -580
672 986 764 611 -810
-384 942 718 852 464
-62 -271 783 -365 926
400 -866 -555 950 -672
-3 -994 -786 244 -7
569 193 -186 -795 849
406 619 920 -617 -636
-148 -659 300 -872 851
599 -635 -550 356 -830
653 692 -302 -817 558
-1 156 -639 -725 924
-762 -858 -617 643 39
-310 26 749 211 803
-878 -299 -776 217 204
594 370 169 806 -289
-859 991 796 593 790
56 730 -103 707 467
-473 -50 430 279 345
502 652 210 977 997
49 -891 179 -734 213
-767 151 659 279 615
-135 -396 -835 637 -804
-252 -911 -76 -767 344
706 640 158 927 -418
667 885 207 850 520
504 -916 13 154 -263
-1 274 320 -893 -592
695 11 973 771 -716
-57 535 -732 662 -851
763 -481 709 -870 -226
-475 96 -339 -760 461
-428 326 -198 -328 648
541 839 -651 988 -594
766 719 11 -17 730
-315 -993 -200 758 -161
378 -164 -899 -267 -708
200 362 286 -509 -261
848 -678 -695 -905 246
-225 310 -17 -730 -903
983 -969 -58 -547 -919
-457 -367 -189 -365 401
-981 -74 984 -693 968
-679 805 140 -960 -101
-222 377 -600 -914 -664
-4 553 346 -936 792
537 -492 13 632 972
367 -598 -548 -351 991
-94 409 -617 906 165
130 959 103 325 -710
-722 737 -864 300 961
369 -597 -557 -212 33
924 -737 59 463 957
368 361 -468 346 419
-25 -994 -224 843 219
-364 -872 606 629 -735
-545 -961 563 -124 -653
344 26 -673 388 -961
-251 -364 206 -145 -580
-239 138 -948 -340 658
687 21 -914 648 115
-95 -996 -195 648 742
-545 -258 -585 923 653
854 -489 -381 235 -132
-878 963 685 496 -14
507 141 -39 -38 381
-467 -404 840 208 929
156 613 543 -810 -197
-452 -805 -472 269 943
-782 754 266 295 -567
-100 523 -777 234 325
863 314 935 -286 -900
-467 -962 660 49 649
490 -347 -722 -672 600
-358 622 390 918 -688
-870 859 -613 -198 998
-229 -783 -935 -478 442
79 -245 -263 481 725
-87 -345 136 633 -834
-33 192 -412 439 -153
934 572 779 -496 -954
407 786 -739 -496 673
670 -213 931 -674 286
-204 -770 237 638 -358
-594 609 67 -505 -674
384 993 -605 468 -600
14 580 329 -899 731
582 659 -604 435 467
747 -739 -116 -485 600
129 412 554 404 -574
919 633 -304 -470 -870
441 -68 -255 -817 414
127 526 387 -58 947
-689 -853 -372 241 987
484 99 -588 -790 -878
-359 -173 946 967 365
-33 -863 966 207 -500
912 733 -115 570 -936
529 343 -949 617 -142
172 -540 -317 990 588
-724 -12 -929 449 -488
592 165 -93 222 -576
-860 -419 140 591 475
-107 -391 189 -230 672
-158 -103 95 949 -921
-876 755 223 -886 -561
-918 291 582 72 -370
-37 138 370 483 68
-285 -224 -120 978 302
-36 -295 -875 989 -581
-350 736 172 -762 503
-660 -651 837 180 -294
515 37 -818 693 -371
647 992 657 232 284
951 -471 63 80 -545
-834 319 -21 -162 104
832 774 163 -77 -756
337 571 599 964 817
-671 457 -3 -62 -27
366 -941 -234 927 850
25 -618 610 111 -961
-357 552 -143 588 497
-641 -701 330 -931 757
395 -375 169 -619 161
-878 -35 673 -944 144
46 -503 -42 -818 467
149 -567 -516 -78 -811
-927 376 179 -700 -511
61 -368 -854 821 423
750 199 -182 -644 -718
88 825 489 466 -588
391 474 853 -299 928
490 -506 46 -787 792
443 241 -95 -718 -822
-628 -566 486 930 152
324 594 -315 -487 -948
944 -380 -791 471 338
197 745 637 833 205
172 27 247 785 -318
-16 711 -95 -900 -673
-357 -235 53 474 64
540 525 -86 -22 83
-69 -846 -241 831 499
-212 425 -894 -32 -332
-909 636 5 184 741
-794 -202 538 -871 517
-813 805 -543 -469 -476
-494 820 -824 320 -560
-293 -803 -108 -647 -515
417 -200 -181 180 -405
-989 -293 -984 850 -303
-204 -455 -624 -88 -315
-251 863 75 373 -605
